Shorthand,Platform,Name, Context window,Cost per 1M input tokens,Cost per 1M output tokens
gpt_4o_mini,OPENAI,gpt-4o-mini-2024-07-18, 128_000,0.15,0.6
gpt_4o,OPENAI,gpt-4o-2024-08-06, 128_000,2.5,10.0
gpt_4_turbo,OPENAI,gpt-4-0125-preview, 128_000,10.0,30.0
gpt_4,OPENAI,gpt-4, 8_192,30.0,60.0
gpt_4_32k,OPENAI,gpt-4-32k, 32_768,60.0,120.0
gpt_35_turbo,OPENAI,gpt-3.5-turbo-0125, 16_385,0.5,1.5
gpt_35_turbo_16k,OPENAI,gpt-3.5-turbo-16k-0613, 16_385,3.0,4.0
claude_35_sonnet,ANTHROPIC,claude-3-5-sonnet-20240620, 200_000,3.0,15.0
claude_3_opus,ANTHROPIC,claude-3-opus-20240229, 200_000,15.0,75.0
claude_3_sonnet,ANTHROPIC,claude-3-sonnet-20240229, 200_000,3.0,15.0
claude_3_haiku,ANTHROPIC,claude-3-haiku-20240307, 200_000,0.25,1.25
claude_21,ANTHROPIC,claude-2.1, 200_000,8.0,24.0
claude_20,ANTHROPIC,claude-2.0, 100_000,8.0,24.0
claude_instant,ANTHROPIC,claude-instant-1.2, 100_000,0.8,2.4
llama3_8b,HUGGINGFACE,meta-llama/Meta-Llama-3-8B-Instruct, 8_000,0,0
llama3_70b,HUGGINGFACE,meta-llama/Meta-Llama-3-70B-Instruct, 8_000,0,0
llama31_70b,HUGGINGFACE,meta-llama/Meta-Llama-3.1-70B-Instruct, 8_000,0,0
mixtral_v0.1,HUGGINGFACE,mistralai/Mixtral-8x7B-Instruct-v0.1, 32_000,0,0
ladybird,HUGGINGFACE,bobofrut/ladybird-base-7B-v8,8_000,0,0
llava_onevision,HUGGINGFACE,llava-hf/llava-onevision-qwen2-7b-ov-hf,128_000,0,0
llama32_90b,HUGGINGFACE,meta-llama/Llama-3.2-90B-Vision-Instruct,128_000,0,0
llama4_scout,HUGGINGFACE,meta-llama/Llama-4-Scout-17B-16E-Instruct,10_000_000,0,0
deepseek,DEEPSEEK,deepseek-chat,64_000,0.14,0.28
deepseek_v3_1,OPENAI,deepseek-v3.1,64_000,0.14,0.28
deepseek_v3_2,OPENAI,deepseek-v3.2,64_000,0.14,0.28
qwen_turbo,OPENAI,qwen-turbo,128_000,0.005,0.02
llama33_70b_free,OPENAI,meta-llama/llama-3.3-70b-instruct:free,128_000,0,0
llama31_405b_free,OPENAI,meta-llama/llama-3.1-405b-instruct:free,128_000,0,0
deepseek_r1_free,OPENAI,deepseek/deepseek-r1-0528:free,64_000,0,0
gemini_25_flash,OPENAI,gemini-2.5-flash,1_000_000,1.5,6
gemini_15_flash,OPENAI,gemini-1.5-flash,1_000_000,0.75,3
deepseek_r1_llama_8b,OPENAI,deepseek-r1-distill-llama-8b,128_000,0,0
gemini_3_flash_preview,OPENAI,gemini-3-flash-preview,1_000_000,0.4,2.4
gemini_3_1_flash_lite_preview,OPENAI,gemini-3.1-flash-lite-preview,1_000_000,0.375,2.25
gpt_54_mini,OPENAI,gpt-5.4-mini,128_000,0.6,3.6
gpt_51_chat_latest,OPENAI,gpt-5.1-chat-latest,128_000,1.25,10.0
